"ID" "Group" "times" "RATS" "time"
"1" "1" 1 "WD1" 240 1
"2" "2" 1 "WD1" 225 1
"3" "3" 1 "WD1" 245 1
"4" "4" 1 "WD1" 260 1
"5" "5" 1 "WD1" 255 1
"6" "6" 1 "WD1" 260 1
"7" "7" 1 "WD1" 275 1
"8" "8" 1 "WD1" 245 1
"9" "9" 2 "WD1" 410 1
"10" "10" 2 "WD1" 405 1
"11" "11" 2 "WD1" 445 1
"12" "12" 2 "WD1" 555 1
"13" "13" 3 "WD1" 470 1
"14" "14" 3 "WD1" 535 1
"15" "15" 3 "WD1" 520 1
"16" "16" 3 "WD1" 510 1
"17" "1" 1 "WD15" 255 1
"18" "2" 1 "WD15" 230 1
"19" "3" 1 "WD15" 250 1
"20" "4" 1 "WD15" 255 1
"21" "5" 1 "WD15" 255 1
"22" "6" 1 "WD15" 270 1
"23" "7" 1 "WD15" 260 1
"24" "8" 1 "WD15" 260 1
"25" "9" 2 "WD15" 425 1
"26" "10" 2 "WD15" 430 1
"27" "11" 2 "WD15" 450 1
"28" "12" 2 "WD15" 565 1
"29" "13" 3 "WD15" 475 1
"30" "14" 3 "WD15" 530 1
"31" "15" 3 "WD15" 530 1
"32" "16" 3 "WD15" 520 1
"33" "1" 1 "WD22" 260 2
"34" "2" 1 "WD22" 232 2
"35" "3" 1 "WD22" 255 2
"36" "4" 1 "WD22" 265 2
"37" "5" 1 "WD22" 270 2
"38" "6" 1 "WD22" 275 2
"39" "7" 1 "WD22" 270 2
"40" "8" 1 "WD22" 268 2
"41" "9" 2 "WD22" 428 2
"42" "10" 2 "WD22" 440 2
"43" "11" 2 "WD22" 452 2
"44" "12" 2 "WD22" 580 2
"45" "13" 3 "WD22" 485 2
"46" "14" 3 "WD22" 533 2
"47" "15" 3 "WD22" 540 2
"48" "16" 3 "WD22" 515 2
"49" "1" 1 "WD29" 262 2
"50" "2" 1 "WD29" 240 2
"51" "3" 1 "WD29" 262 2
"52" "4" 1 "WD29" 265 2
"53" "5" 1 "WD29" 270 2
"54" "6" 1 "WD29" 275 2
"55" "7" 1 "WD29" 273 2
"56" "8" 1 "WD29" 270 2
"57" "9" 2 "WD29" 438 2
"58" "10" 2 "WD29" 448 2
"59" "11" 2 "WD29" 455 2
"60" "12" 2 "WD29" 590 2
"61" "13" 3 "WD29" 487 2
"62" "14" 3 "WD29" 535 2
"63" "15" 3 "WD29" 543 2
"64" "16" 3 "WD29" 530 2
"65" "1" 1 "WD36" 258 3
"66" "2" 1 "WD36" 240 3
"67" "3" 1 "WD36" 265 3
"68" "4" 1 "WD36" 268 3
"69" "5" 1 "WD36" 273 3
"70" "6" 1 "WD36" 277 3
